BN,legal_name,account_name,address1,address2,city,province,postal_code,country,sector,org_size,volunteers_currently_needed,volunteer_urgency,skills_needed,languages_needed,availability_preference,background_check_required
886937309RR0001,SIDEBYSIDE II CHILDREN'S VILLAGE SOCIETY,SOS II CHILDREN'S VILLAGE BRITISH COLUMBIA (CANADA) SOCIETY,805 WEST BROADWAY,12TH FLOOR,VANCOUVER,BC,V5Z1K1,CA,Youth services,Micro (1-5 staff),6,High,Tutoring/mentorship; Event coordination,English; Mandarin,Weekdays preferred,Yes
807314349RR0001,SHAHADA A SOCIETY FOR UNITING CHILDREN WITH PARENTS,SHAHADA A SOCIETY FOR UNITING CHILDREN WITH PARENTS,220-2747 HASTINGS ST E,,VANCOUVER,BC,V5K1Z8,CA,Youth services,Micro (1-5 staff),9,Medium,Arts facilitation; Tutoring/mentorship,English,Weekday mornings,Yes
889431003RR0001,KIDS HELPING KIDS FOUNDATION,KIDS HELPING KIDS FOUNDATION,1720 TRAFALGAR ST,,VANCOUVER,BC,V6K3R8,CA,Youth services,Small (6-15 staff),7,High,Childcare support; Arts facilitation; Event coordination,English,Weekday evenings,Yes
863704920RR0001,CANUCK PLACE CHILDREN'S HOSPICE FOUNDATION,CANUCK PLACE CHILDREN'S HOSPICE FOUNDATION,1690 MATTHEWS AVE,,VANCOUVER,BC,V6J2T2,CA,Youth services,Small (6-15 staff),13,High,Event coordination; Tutoring/mentorship,English,Flexible,Yes
866922214RR0001,THE PACE CHILD AND FAMILY SOCIETY,THE PACE CHILD AND FAMILY SOCIETY,1524 W 65 AVENUE,,VANCOUVER,BC,V6P2R1,CA,Youth services,Medium (16-50 staff),14,Low,Arts facilitation; Event coordination,English,Weekday evenings,Yes
751779695RR0001,HARVEST OF HOPE SOCIETY,Harvest of Hope Society,312 - 4885 VALLEY DR,,VANCOUVER,BC,V6J5M7,CA,Food security,Small (6-15 staff),11,Critical,Driving/transportation; Event coordination; Cooking/food prep,English; Cantonese,Weekday afternoons,No
892231572RR0001,FARMFOLK/CITYFOLK SOCIETY,FARMFOLK/CITYFOLK SOCIETY,4228 VICTORIA DR,,VANCOUVER,BC,V5N4N4,CA,Food security,Small (6-15 staff),8,High,Event coordination; Driving/transportation; Administrative support,English; Cantonese,Weekdays preferred,No
769422676RR0001,VANCOUVER FOOD RUNNERS SOCIETY,Vancouver Food Runners Society,303 - 2912 BROADWAY W,,VANCOUVER,BC,V6K0E9,CA,Food security,Micro (1-5 staff),8,Medium,Driving/transportation,English,Weekdays preferred,Yes
889670733RR0001,POINT GREY LOW COST STUDENT HOUSING ASSOCIATION,POINT GREY LOW COST STUDENT HOUSING ASSOCIATION,LEWIS & COMPANY,1610-1055 WEST HASTINGS ST,VANCOUVER,BC,V6E2E9,CA,Housing & homelessness,Medium (16-50 staff),12,Medium,Mental health support; Outreach/community engagement,English; Punjabi,Weekday mornings,Yes
816275895RR0001,WEST END MENNONITE HOUSING SOCIETY,West End Mennonite Housing Society,100-1515 CHARLES ST,,VANCOUVER,BC,V5L2T2,CA,Housing & homelessness,Medium (16-50 staff),16,Low,Administrative support; Mental health support; Driving/transportation,English; Vietnamese,Weekday afternoons,Yes
130808363RR0001,MORE THAN A ROOF MENNONITE HOUSING SOCIETY,MORE THAN A ROOF MENNONITE HOUSING SOCIETY,100-1515 CHARLES ST,,VANCOUVER,BC,V5L2T2,CA,Housing & homelessness,Small (6-15 staff),6,Medium,Driving/transportation; Mental health support; Administrative support,English; Tagalog,Weekday mornings,No
107592487RR0001,LAKEVIEW MULTICULTURAL UNITED CHURCH,LAKEVIEW MULTICULTURAL UNITED CHURCH,2776 SEMLIN DRIVE,,VANCOUVER,BC,V5N4R6,CA,Newcomer & immigrant support,Small (6-15 staff),15,High,Tutoring/mentorship; Outreach/community engagement,English; Mandarin; Cantonese,Weekends,Yes
891070245RR0001,TESL CANADIAN EDUCATIONAL FOUNDATION,TESL CANADIAN EDUCATIONAL FOUNDATION,2811 W. 32ND AVE.,,VANCOUVER,BC,V6L2B5,CA,Newcomer & immigrant support,Small (6-15 staff),19,High,Outreach/community engagement; Administrative support; Translation/interpretation,English; Tagalog; Punjabi,Weekdays preferred,Yes
130724222RR0001,THE IMMIGRANT SERVICES SOCIETY OF BRITISH COLUMBIA,THE IMMIGRANT SERVICES SOCIETY OF BRITISH COLUMBIA,2610 VICTORIA DR,,VANCOUVER,BC,V5N4L2,CA,Newcomer & immigrant support,Medium (16-50 staff),10,Critical,Administrative support; Translation/interpretation; Tutoring/mentorship; Outreach/community engagement,English; Mandarin; Cantonese,Weekday afternoons,Yes
865274492RR0001,MULTICULTURAL HELPING HOUSE SOCIETY,MULTICULTURAL HELPING HOUSE SOCIETY,4802 FRASER ST,,VANCOUVER,BC,V5V4H4,CA,Newcomer & immigrant support,Small (6-15 staff),6,Medium,Outreach/community engagement; Administrative support,English; Tagalog; Punjabi,Weekday afternoons,Yes
861508018RR0001,COAST MENTAL HEALTH FOUNDATION,COAST MENTAL HEALTH FOUNDATION,293 11TH AVE E,,VANCOUVER,BC,V5T2C4,CA,Mental health,Small (6-15 staff),13,Critical,Outreach/community engagement; Administrative support,English,Weekday evenings,Yes
841621956RR0001,BRITISH COLUMBIA NEW HOPE RECOVERY SOCIETY,BRITISH COLUMBIA NEW HOPE RECOVERY SOCIETY,PO BOX 48384 STN BENTALL,,VANCOUVER,BC,V7X1A2,CA,Mental health,Medium (16-50 staff),19,High,Mental health support; Data entry; Outreach/community engagement; Administrative support,English; Hindi,Weekday afternoons,Yes
108151085RR0001,OAK COUNSELLING SERVICES SOCIETY,OAK COUNSELLING SERVICES SOCIETY,949 WEST 49TH AVENUE,,VANCOUVER,BC,V5Z2T1,CA,Mental health,Small (6-15 staff),8,Critical,Outreach/community engagement; Data entry,English; Korean,Weekdays preferred,Yes
873629661RR0001,KICKSTART DISABILITY ARTS AND CULTURE,Kickstart Disability Arts and Culture,PO BOX 2749 STATION TERMINAL,,VANCOUVER,BC,V6B3X2,CA,Arts & culture,Medium (16-50 staff),16,Low,Social media; Photography; Event coordination; Grant writing,English; Hindi,Weekday afternoons,Yes
131259400RR0001,THE I E ARTSPEAK GALLERY SOCIETY,THE I E ARTSPEAK GALLERY SOCIETY,233 CARRALL ST,,VANCOUVER,BC,V6B2J2,CA,Arts & culture,Micro (1-5 staff),3,Medium,Photography,English; Punjabi,Weekday mornings,No
892084781RR0001,CDMF PERFORMING ARTS FESTIVAL SOCIETY,CDMF PERFORMING ARTS FESTIVAL SOCIETY,202 - 5550 FRASER ST,,VANCOUVER,BC,V5W2Z4,CA,Arts & culture,Small (6-15 staff),19,Low,Event coordination; Social media,English; Farsi,Flexible,Yes
107534828RR0001,JEWISH HOME FOR THE AGED OF BRITISH COLUMBIA,JEWISH HOME FOR THE AGED OF BRITISH COLUMBIA,1055 W 41ST AVE,,VANCOUVER,BC,V6M1W9,CA,Senior services,Micro (1-5 staff),7,Medium,First aid/CPR; Driving/transportation,English; Cantonese,Weekends,Yes
118788967RR0001,ARBUTUS SHAUGHNESSY KERRISDALE FRIENDSHIP SOCIETY FOR SENIORS,ARBUTUS SHAUGHNESSY KERRISDALE FRIENDSHIP SOCIETY FOR SENIOR,7405 PAULSON ST,,VANCOUVER,BC,V6P0J4,CA,Senior services,Small (6-15 staff),5,Medium,Elder care; First aid/CPR,English; Mandarin,Weekday afternoons,Yes
118836311RR0001,CANADIAN SOCIETY PROMOTING ENVIRONMENTAL CONSERVATION,CANADIAN SOCIETY PROMOTING ENVIRONMENTAL CONSERVATION,2305 7TH AVE W,,VANCOUVER,BC,V6K1Y4,CA,Environment,Small (6-15 staff),4,Medium,Social media; Outreach/community engagement,English; Spanish,Flexible,Yes
866534480RR0001,LISIMS FISHERIES CONSERVATION TRUST,LISIMS FISHERIES CONSERVATION TRUST,2104 - 1128 QUEBEC ST,,VANCOUVER,BC,V6A4E1,CA,Environment,Small (6-15 staff),17,Medium,Outreach/community engagement; Social media,English; Cantonese,Weekends,No
887399590RR0001,UNIVERSITY WOMENS CLUB OF VANCOUVER TRUST FUND FOR EDUCATION,UNIVERSITY WOMENS CLUB OF VANCOUVER TRUST FUND FOR EDUCATION,1489 MCRAE AVE,,VANCOUVER,BC,V6H1V1,CA,Women & gender equity,Micro (1-5 staff),9,Medium,Grant writing; Outreach/community engagement,English; Vietnamese,Weekdays preferred,No
855495529RR0001,WOMEN'S W.O.R.K. (WOMEN OFFERING RESOURCES & KNOWLEDGE),WOMEN'S W.O.R.K. (WOMEN OFFERING RESOURCES & KNOWLEDGE),300 - 1208 PENDER ST W,,VANCOUVER,BC,V6E2S8,CA,Women & gender equity,Medium (16-50 staff),20,High,Mental health support; Outreach/community engagement; Grant writing,English; Punjabi; Halkomelem,Weekday mornings,Yes
859174625RR0001,LONGHOUSE COUNCIL OF NATIVE MINISTRY,The Longhouse Council of Native Ministry,2595 FRANKLIN STREET,,VANCOUVER,BC,V5K1X5,CA,Indigenous services,Small (6-15 staff),18,Medium,Outreach/community engagement; Teaching/training,English; Halkomelem,Flexible,Yes
130463649RR0001,DISABLED SAILING ASSOCIATION OF BRITISH COLUMBIA,Disabled Sailing Association of British Columbia,110 - 2285 CLARK DR,,VANCOUVER,BC,V5N3G9,CA,Disability services,Small (6-15 staff),9,Medium,Driving/transportation; Event coordination,English; Mandarin,Flexible,Yes
872527312RR0001,STRATHCONA HEALTH SOCIETY,STRATHCONA HEALTH SOCIETY,601 KEEFER STREET,,VANCOUVER,BC,V6A3V8,CA,Community health,Small (6-15 staff),18,Medium,First aid/CPR; Administrative support,English; Farsi; Halkomelem,Weekday evenings,Yes